id,machine_id,date,oee,availability,performance,output_quality,status
256,6,2025-02-10,62.4,50.71,64.9,50.2,Running
257,7,2025-02-10,53.91,64.81,57.25,53.13,Running
258,8,2025-02-10,86.77,87.95,87.3,61.71,Running
259,9,2025-02-10,91.16,64.71,69.81,67.46,Running
260,10,2025-02-10,95.4,81.87,87.57,81.26,Offline
261,11,2025-02-10,99.14,50.87,78.21,71.61,Running
262,12,2025-02-10,59.43,98.56,85.23,70.95,Running
263,13,2025-02-10,86.23,53.79,70.76,68.09,Offline
264,14,2025-02-10,76.41,76.49,71.36,66.8,Offline
265,15,2025-02-10,57.77,82.44,58.84,71.29,Offline
266,16,2025-02-10,92.38,65.94,94.0,55.9,Running
267,17,2025-02-10,59.4,78.95,58.63,79.41,Running
268,18,2025-02-10,98.85,89.58,76.0,81.66,Offline
269,19,2025-02-10,56.09,68.98,54.83,90.26,Running
270,20,2025-02-10,51.51,96.22,95.09,77.78,Running
271,21,2025-02-10,52.01,91.52,98.31,68.48,Running
272,22,2025-02-10,89.56,93.36,68.93,50.18,Running
273,23,2025-02-10,77.8,93.21,88.54,90.93,Offline
274,24,2025-02-10,51.38,63.42,84.54,79.95,Offline
275,25,2025-02-10,71.81,58.45,62.66,90.36,Running
276,26,2025-02-10,88.5,75.75,55.96,82.83,Running
277,27,2025-02-10,59.71,81.8,68.9,70.86,Offline
278,28,2025-02-10,57.25,60.24,50.88,71.03,Running
279,29,2025-02-10,85.96,94.74,99.48,90.93,Running
280,30,2025-02-10,71.25,98.71,57.78,56.15,Offline
281,31,2025-02-10,52.79,81.13,73.14,94.94,Offline
282,32,2025-02-10,83.81,84.06,68.28,91.44,Running
283,33,2025-02-10,79.17,60.25,69.47,73.19,Running
284,34,2025-02-10,92.25,51.12,62.1,75.58,Running
285,35,2025-02-10,66.46,65.26,76.75,65.64,Offline
286,36,2025-02-10,56.06,87.45,60.03,66.49,Running
287,37,2025-02-10,93.26,79.39,81.68,92.21,Offline
288,38,2025-02-10,78.75,88.3,63.7,70.22,Offline
289,39,2025-02-10,63.42,80.14,55.39,85.42,Running
290,40,2025-02-10,66.18,92.93,63.8,79.76,Running
291,41,2025-02-10,80.74,74.71,87.1,84.95,Running
292,42,2025-02-10,96.44,62.38,58.39,93.95,Running
293,43,2025-02-10,79.2,61.97,99.79,74.31,Offline
294,44,2025-02-10,65.31,62.33,66.45,58.88,Offline
295,45,2025-02-10,93.21,75.32,50.95,96.86,Running
296,46,2025-02-10,59.76,81.56,57.48,54.43,Running
297,47,2025-02-10,71.54,53.8,50.53,73.44,Offline
298,48,2025-02-10,82.27,62.89,76.32,67.69,Offline
299,49,2025-02-10,59.87,65.3,79.73,77.42,Running
300,50,2025-02-10,83.69,59.53,53.8,91.84,Running
301,1,2025-02-11,65.38,78.04,72.94,91.29,Running
302,2,2025-02-11,84.96,83.25,73.86,52.52,Offline
303,3,2025-02-11,88.13,56.52,54.72,89.9,Running
304,4,2025-02-11,57.19,88.03,52.83,54.36,Running
305,5,2025-02-11,59.16,54.5,84.16,69.9,Running
306,6,2025-02-11,86.69,99.94,50.91,64.59,Offline
307,7,2025-02-11,56.5,95.74,98.06,81.0,Offline
308,8,2025-02-11,68.61,98.82,66.44,82.58,Offline
309,9,2025-02-11,86.57,55.12,75.1,58.82,Offline
310,10,2025-02-11,63.76,51.64,56.32,71.99,Running
311,11,2025-02-11,61.16,90.77,73.87,90.41,Offline
312,12,2025-02-11,51.39,63.44,86.83,67.54,Running
313,13,2025-02-11,78.13,94.01,71.11,67.27,Offline
314,14,2025-02-11,97.31,78.04,84.15,50.81,Offline
315,15,2025-02-11,65.81,63.04,67.2,80.02,Running
316,16,2025-02-11,82.48,71.97,97.56,73.81,Offline
317,17,2025-02-11,67.12,57.7,62.55,53.88,Offline
318,18,2025-02-11,88.68,92.93,76.38,83.43,Offline
319,19,2025-02-11,53.68,97.42,71.2,70.07,Offline
320,20,2025-02-11,91.74,95.22,91.65,51.21,Offline
321,21,2025-02-11,64.54,86.0,65.78,66.29,Running
322,22,2025-02-11,65.55,81.56,97.68,67.32,Offline
323,23,2025-02-11,72.63,52.22,95.22,80.19,Offline
324,24,2025-02-11,98.48,87.89,86.24,64.41,Offline
325,25,2025-02-11,88.66,51.48,91.09,69.14,Running
326,26,2025-02-11,96.21,55.97,52.24,83.73,Running
327,27,2025-02-11,63.16,53.76,61.95,66.19,Running
328,28,2025-02-11,61.38,80.13,51.51,78.63,Offline
329,29,2025-02-11,86.51,83.3,99.69,83.34,Running
330,30,2025-02-11,98.54,98.41,73.66,99.47,Running
331,31,2025-02-11,90.08,78.8,97.97,60.18,Running
332,32,2025-02-11,63.46,68.59,69.13,67.47,Offline
333,33,2025-02-11,93.41,84.07,76.54,84.52,Running
334,34,2025-02-11,96.92,52.13,98.88,75.73,Offline
335,35,2025-02-11,79.86,97.46,96.94,57.88,Running
336,36,2025-02-11,56.55,51.83,85.04,83.24,Offline
337,37,2025-02-11,78.21,98.05,63.38,96.17,Running
338,38,2025-02-11,96.17,81.62,60.97,79.61,Offline
339,39,2025-02-11,61.97,95.57,79.65,51.97,Running
340,40,2025-02-11,64.66,99.34,64.66,80.96,Running
341,41,2025-02-11,80.78,78.93,93.28,96.57,Offline
342,42,2025-02-11,90.39,70.02,65.77,54.7,Offline
343,43,2025-02-11,56.8,72.15,80.0,73.65,Running
344,44,2025-02-11,56.43,73.57,88.8,99.16,Offline
345,45,2025-02-11,57.17,70.2,99.4,73.76,Running
346,46,2025-02-11,54.69,70.15,97.2,87.54,Running
347,47,2025-02-11,96.26,81.51,56.76,89.52,Offline
348,48,2025-02-11,86.08,73.8,85.25,74.55,Running
349,49,2025-02-11,54.38,56.58,94.27,90.56,Running
350,50,2025-02-11,58.51,83.87,68.76,72.49,Running
351,1,2025-02-12,84.86,89.7,57.57,62.93,Running
352,2,2025-02-12,57.46,50.77,67.34,59.5,Offline
353,3,2025-02-12,69.17,57.72,94.69,82.88,Running
354,4,2025-02-12,80.98,65.03,74.81,90.88,Running
355,5,2025-02-12,51.93,98.28,60.12,56.85,Running
356,6,2025-02-12,84.14,58.19,80.37,59.25,Running
357,7,2025-02-12,78.41,61.57,61.37,72.85,Offline
358,8,2025-02-12,84.2,65.28,66.55,66.82,Running
359,9,2025-02-12,50.94,86.19,92.34,64.09,Running
360,10,2025-02-12,58.15,54.97,64.96,85.43,Offline
361,11,2025-02-12,61.26,87.74,99.21,98.25,Offline
362,12,2025-02-12,58.88,70.96,54.7,68.14,Running
363,13,2025-02-12,58.26,78.94,60.56,69.18,Running
364,14,2025-02-12,95.06,60.9,98.34,95.23,Running
365,15,2025-02-12,77.15,63.55,92.25,54.75,Offline
366,16,2025-02-12,73.93,82.97,88.42,57.89,Offline
367,17,2025-02-12,74.57,91.27,62.8,70.98,Offline
368,18,2025-02-12,93.04,78.24,93.51,63.8,Offline
369,19,2025-02-12,95.96,54.62,52.76,79.4,Offline
370,20,2025-02-12,65.73,53.77,53.4,95.76,Offline
371,21,2025-02-12,83.74,73.9,53.1,87.63,Running
372,22,2025-02-12,71.58,67.16,73.25,50.45,Running
373,23,2025-02-12,79.52,76.89,64.04,68.36,Offline
374,24,2025-02-12,86.91,54.96,98.67,94.6,Running
375,25,2025-02-12,97.4,92.5,70.6,92.52,Running
376,26,2025-02-12,57.33,50.81,50.55,51.82,Offline
377,27,2025-02-12,81.97,63.71,66.38,53.27,Offline
378,28,2025-02-12,61.21,94.71,50.94,99.27,Running
379,29,2025-02-12,76.98,72.17,87.35,63.66,Running
380,30,2025-02-12,60.27,92.02,71.38,66.5,Offline
381,31,2025-02-12,50.37,90.6,67.66,65.38,Offline
382,32,2025-02-12,73.45,76.14,56.62,72.63,Running
383,33,2025-02-12,60.47,73.35,52.15,76.58,Running
384,34,2025-02-12,58.81,50.14,66.43,86.61,Running
385,35,2025-02-12,58.54,69.8,71.76,66.03,Running
386,36,2025-02-12,72.76,99.87,96.13,83.72,Offline
387,37,2025-02-12,54.13,91.31,98.86,88.77,Running
388,38,2025-02-12,93.09,92.79,67.3,57.01,Offline
389,39,2025-02-12,90.6,91.13,79.64,68.94,Offline
390,40,2025-02-12,72.85,62.73,95.25,99.45,Offline
391,41,2025-02-12,73.83,60.2,57.91,84.09,Offline
392,42,2025-02-12,81.03,90.99,56.89,76.68,Offline
393,43,2025-02-12,89.01,69.2,81.13,57.07,Offline
394,44,2025-02-12,91.15,59.73,52.03,63.62,Offline
395,45,2025-02-12,97.65,50.02,57.22,81.99,Running
396,46,2025-02-12,77.24,71.98,93.01,75.85,Offline
397,47,2025-02-12,57.74,56.38,98.91,81.12,Offline
398,48,2025-02-12,53.24,61.76,64.51,92.33,Running
399,49,2025-02-12,50.11,77.48,82.25,57.93,Offline
400,50,2025-02-12,82.58,87.56,90.79,81.63,Running
401,1,2025-02-13,56.65,93.62,75.24,78.74,Offline
402,2,2025-02-13,56.64,66.14,61.13,84.58,Offline
403,3,2025-02-13,78.27,93.72,58.32,52.39,Offline
404,4,2025-02-13,72.0,84.9,88.27,95.2,Offline
405,5,2025-02-13,57.94,70.01,53.5,64.72,Running
406,6,2025-02-13,89.53,52.12,54.5,69.8,Offline
407,7,2025-02-13,78.17,81.75,54.7,66.35,Running
408,8,2025-02-13,63.21,75.3,96.19,61.02,Offline
409,9,2025-02-13,98.31,98.81,91.56,55.87,Running
410,10,2025-02-13,94.27,70.52,77.2,57.24,Offline
411,11,2025-02-13,77.18,66.05,70.39,71.08,Running
412,12,2025-02-13,84.97,66.88,83.71,72.22,Offline
413,13,2025-02-13,97.74,91.49,80.53,66.86,Running
414,14,2025-02-13,74.83,57.33,68.23,57.5,Offline
415,15,2025-02-13,72.19,67.34,76.72,82.77,Running
416,16,2025-02-13,53.04,95.93,54.73,70.57,Offline
417,17,2025-02-13,54.32,56.29,61.14,73.54,Running
418,18,2025-02-13,68.77,72.26,56.74,69.81,Offline
419,19,2025-02-13,78.56,62.76,61.8,67.01,Running
420,20,2025-02-13,84.95,79.66,67.33,90.65,Running
421,21,2025-02-13,84.87,58.53,79.45,94.3,Offline
422,22,2025-02-13,63.83,90.68,61.84,59.53,Running
423,23,2025-02-13,93.1,64.42,92.97,74.71,Running
424,24,2025-02-13,65.71,94.45,92.5,98.74,Offline
425,25,2025-02-13,93.42,75.2,84.64,91.81,Running
426,26,2025-02-13,92.08,59.91,79.84,52.34,Running
427,27,2025-02-13,78.13,92.8,76.88,90.69,Running
428,28,2025-02-13,97.29,74.79,59.78,68.62,Offline
429,29,2025-02-13,51.37,93.35,63.85,73.87,Offline
430,30,2025-02-13,57.92,91.75,61.99,83.81,Offline
431,31,2025-02-13,62.3,70.0,69.61,72.17,Offline
432,32,2025-02-13,88.3,71.26,67.58,91.42,Running
433,33,2025-02-13,93.85,58.87,52.31,68.96,Running
434,34,2025-02-13,71.73,77.24,63.45,60.48,Running
435,35,2025-02-13,89.28,59.65,70.3,77.65,Offline
436,36,2025-02-13,81.67,52.07,61.1,77.97,Running
437,37,2025-02-13,97.86,88.98,99.99,69.06,Running
438,38,2025-02-13,82.38,96.56,85.11,85.24,Running
439,39,2025-02-13,73.46,92.8,73.16,68.74,Offline
440,40,2025-02-13,99.3,84.19,51.44,53.57,Running
441,41,2025-02-13,89.06,76.1,58.24,51.05,Running
442,42,2025-02-13,59.41,74.02,79.65,90.5,Running
443,43,2025-02-13,78.52,56.41,97.69,60.56,Running
444,44,2025-02-13,94.99,51.18,66.43,68.71,Running
445,45,2025-02-13,81.16,97.31,68.57,66.94,Running
446,46,2025-02-13,69.31,65.45,84.75,96.56,Running
447,47,2025-02-13,68.76,83.69,89.15,56.91,Running
448,48,2025-02-13,90.52,64.03,89.77,92.05,Offline
449,49,2025-02-13,98.67,77.66,68.42,61.72,Offline
450,50,2025-02-13,73.1,83.38,62.62,79.79,Offline
451,1,2025-02-14,54.96,85.13,64.9,80.63,Offline
452,2,2025-02-14,76.1,94.82,67.85,59.28,Running
453,3,2025-02-14,92.83,72.77,62.73,79.51,Running
454,4,2025-02-14,64.71,95.5,99.68,67.59,Offline
455,5,2025-02-14,79.04,52.28,77.09,64.86,Running
456,6,2025-02-14,63.03,68.97,93.83,64.99,Running
457,7,2025-02-14,56.94,87.91,93.66,67.71,Offline
