id,machine_id,performed_by,date,notes,planned
110,37,4,2022-01-28,Checked calibration,True
111,37,4,2023-09-05,Replaced worn out parts,False
112,38,5,2021-09-02,Checked calibration,False
113,38,3,2022-12-25,Replaced worn out parts,False
114,38,3,2023-06-29,Lubricated moving components,False
115,39,3,2021-09-13,Replaced filters,True
116,39,2,2022-12-05,Lubricated moving components,True
117,39,4,2023-06-26,Replaced filters,False
118,40,1,2021-08-16,Cleaned machine,True
119,40,2,2022-11-15,Checked calibration,True
120,40,5,2023-04-12,Replaced worn out parts,False
121,41,4,2021-01-09,Replaced filters,False
122,41,5,2022-11-22,Replaced filters,True
123,41,5,2023-01-15,Cleaned machine,True
124,42,1,2021-03-13,Cleaned machine,True
125,42,4,2022-02-28,Cleaned machine,False
126,42,4,2023-10-24,Lubricated moving components,True
127,43,4,2021-10-02,Replaced worn out parts,False
128,43,4,2022-05-31,Replaced filters,False
129,43,2,2023-10-25,Lubricated moving components,False
130,44,3,2021-12-14,Replaced worn out parts,False
131,44,2,2022-04-07,Replaced filters,False
132,44,4,2023-11-13,Cleaned machine,True
133,45,3,2021-01-06,Replaced worn out parts,False
134,45,3,2022-07-08,Lubricated moving components,True
135,45,4,2023-04-03,Replaced filters,False
136,46,4,2021-05-20,Replaced filters,True
137,46,4,2022-05-02,Checked calibration,False
138,46,2,2023-09-14,Replaced worn out parts,False
139,47,3,2021-08-08,Cleaned machine,True
140,47,1,2022-04-24,Checked calibration,False
141,47,3,2023-02-05,Checked calibration,True
142,48,1,2021-03-15,Replaced filters,True
143,48,1,2022-05-23,Replaced filters,False
144,48,3,2023-03-28,Replaced worn out parts,False
145,49,5,2021-08-05,Cleaned machine,True
146,49,4,2022-07-08,Replaced filters,False
147,49,1,2023-05-04,Replaced worn out parts,True
148,50,4,2021-07-09,Replaced filters,False
149,50,1,2022-12-24,Cleaned machine,False
150,50,3,2023-04-23,Cleaned machine,True
