id,machine_id,timestamp,oee,availability,performance,output_quality,status
85,35,2025-02-02,89.75,81.48,81.82,70.35,Offline
86,36,2025-02-02,88.52,62.4,62.73,89.43,Offline
87,37,2025-02-02,67.31,95.31,87.28,55.27,Running
88,38,2025-02-02,78.98,87.69,92.69,76.53,Running
89,39,2025-02-02,54.78,66.1,70.12,86.36,Running
90,40,2025-02-02,55.77,79.94,80.02,88.82,Running
91,41,2025-02-02,61.49,54.0,83.85,54.78,Offline
92,42,2025-02-02,85.21,77.42,56.57,93.0,Offline
93,43,2025-02-02,66.5,94.76,65.53,62.14,Running
94,44,2025-02-02,62.15,72.22,67.57,66.41,Running
95,45,2025-02-02,73.06,93.39,78.3,54.13,Running
96,46,2025-02-02,78.1,53.15,59.71,79.22,Offline
97,47,2025-02-02,54.26,84.94,96.75,77.36,Offline
98,48,2025-02-02,53.04,88.98,70.15,85.0,Running
99,49,2025-02-02,98.38,95.4,86.76,97.8,Offline
100,50,2025-02-02,68.28,91.08,70.04,79.62,Running
101,1,2025-02-03,52.46,83.05,72.48,69.54,Offline
102,2,2025-02-03,58.25,66.81,70.96,99.94,Running
103,3,2025-02-03,81.7,95.73,81.44,52.05,Offline
104,4,2025-02-03,93.0,68.28,96.78,88.02,Offline
105,5,2025-02-03,77.36,75.48,77.3,97.17,Running
106,6,2025-02-03,84.65,82.97,90.77,80.14,Running
107,7,2025-02-03,76.23,73.55,78.68,92.34,Offline
108,8,2025-02-03,51.76,77.12,64.26,54.25,Running
109,9,2025-02-03,56.48,78.92,59.43,67.04,Offline
110,10,2025-02-03,84.34,58.47,50.3,86.7,Running
111,11,2025-02-03,65.38,87.32,68.96,51.22,Running
112,12,2025-02-03,52.0,93.58,85.16,54.16,Offline
113,13,2025-02-03,98.26,56.03,91.71,55.17,Offline
114,14,2025-02-03,71.78,61.5,97.62,100.0,Offline
115,15,2025-02-03,91.09,61.3,72.47,53.96,Offline
116,16,2025-02-03,66.93,87.47,80.82,81.19,Offline
117,17,2025-02-03,98.18,51.7,67.23,92.78,Running
118,18,2025-02-03,91.34,95.55,99.67,88.75,Running
119,19,2025-02-03,68.47,65.34,81.7,76.7,Running
120,20,2025-02-03,93.75,74.11,93.43,62.79,Running
121,21,2025-02-03,50.51,58.57,83.36,65.75,Running
122,22,2025-02-03,56.84,87.28,65.55,70.04,Running
123,23,2025-02-03,63.97,98.47,83.95,95.29,Running
124,24,2025-02-03,81.02,89.61,61.78,61.08,Offline
125,25,2025-02-03,79.93,70.89,70.71,59.21,Running
126,26,2025-02-03,59.52,65.66,92.58,60.33,Offline
127,27,2025-02-03,53.95,79.38,82.62,94.13,Running
128,28,2025-02-03,93.16,50.65,81.88,95.8,Offline
129,29,2025-02-03,57.53,95.82,54.79,90.67,Offline
130,30,2025-02-03,98.74,68.42,69.73,71.51,Offline
131,31,2025-02-03,77.91,83.83,57.76,82.0,Running
132,32,2025-02-03,59.7,59.17,72.12,72.18,Running
133,33,2025-02-03,75.02,69.23,67.4,97.09,Running
134,34,2025-02-03,75.34,96.04,58.42,60.47,Running
135,35,2025-02-03,75.12,55.28,93.58,90.0,Running
136,36,2025-02-03,55.76,75.47,73.55,77.12,Running
137,37,2025-02-03,71.78,75.8,85.38,67.21,Offline
138,38,2025-02-03,70.76,53.26,97.08,51.83,Running
139,39,2025-02-03,62.52,75.42,79.46,85.77,Running
140,40,2025-02-03,90.14,54.45,76.06,95.96,Offline
141,41,2025-02-03,94.77,67.39,85.78,57.43,Running
142,42,2025-02-03,97.46,93.74,62.99,77.84,Offline
143,43,2025-02-03,61.95,73.86,91.4,89.87,Offline
144,44,2025-02-03,65.37,91.51,72.76,91.73,Offline
145,45,2025-02-03,57.62,77.83,54.16,85.48,Running
146,46,2025-02-03,65.87,65.11,94.17,88.17,Offline
147,47,2025-02-03,72.16,95.02,96.21,77.38,Offline
148,48,2025-02-03,84.4,51.0,82.22,59.06,Offline
149,49,2025-02-03,73.81,54.94,62.06,82.66,Offline
150,50,2025-02-03,66.73,61.12,50.63,84.43,Running
151,1,2025-02-04,53.73,71.9,94.07,87.23,Offline
152,2,2025-02-04,69.37,50.47,84.24,90.74,Running
153,3,2025-02-04,67.09,71.39,52.38,57.94,Offline
154,4,2025-02-04,84.29,84.2,91.51,64.57,Running
155,5,2025-02-04,90.4,91.99,56.06,56.42,Offline
156,6,2025-02-04,51.59,77.72,57.23,72.38,Running
157,7,2025-02-04,65.65,77.53,79.39,64.87,Running
158,8,2025-02-04,63.66,77.68,86.21,52.51,Running
159,9,2025-02-04,89.76,54.14,58.7,52.79,Running
160,10,2025-02-04,61.43,95.78,96.6,85.58,Offline
161,11,2025-02-04,51.27,89.47,76.36,50.82,Offline
162,12,2025-02-04,76.04,52.16,53.31,86.39,Running
163,13,2025-02-04,93.4,76.99,69.74,82.19,Running
164,14,2025-02-04,90.01,68.76,64.92,72.02,Offline
165,15,2025-02-04,55.75,74.41,57.14,82.05,Offline
166,16,2025-02-04,73.35,99.06,55.17,56.21,Running
167,17,2025-02-04,59.89,81.12,89.79,70.46,Offline
168,18,2025-02-04,59.08,92.21,68.66,84.28,Offline
169,19,2025-02-04,54.81,87.99,75.89,56.86,Running
170,20,2025-02-04,80.75,93.41,98.47,83.68,Offline
171,21,2025-02-04,94.61,71.91,83.46,82.86,Offline
172,22,2025-02-04,50.02,67.58,79.07,80.71,Offline
173,23,2025-02-04,56.2,58.98,55.05,58.49,Offline
174,24,2025-02-04,54.17,61.22,93.81,69.19,Running
175,25,2025-02-04,87.53,97.71,94.02,52.14,Offline
176,26,2025-02-04,87.68,68.09,69.98,72.62,Running
177,27,2025-02-04,55.61,64.33,87.22,54.27,Offline
178,28,2025-02-04,53.69,72.78,54.46,82.01,Running
179,29,2025-02-04,96.31,56.09,71.55,55.19,Offline
180,30,2025-02-04,84.15,76.56,59.28,93.24,Offline
181,31,2025-02-04,85.97,67.56,85.31,61.69,Offline
182,32,2025-02-04,54.03,91.03,95.18,66.84,Running
183,33,2025-02-04,53.63,75.09,62.75,79.27,Running
184,34,2025-02-04,66.17,60.94,52.75,84.29,Running
185,35,2025-02-04,50.85,53.38,93.33,96.11,Offline
186,36,2025-02-04,67.54,84.59,77.78,74.1,Offline
187,37,2025-02-04,76.02,92.65,65.3,50.55,Offline
188,38,2025-02-04,81.06,55.51,78.85,98.04,Running
189,39,2025-02-04,63.88,51.89,62.64,54.41,Running
190,40,2025-02-04,78.96,97.55,71.35,56.56,Offline
191,41,2025-02-04,79.47,52.54,71.51,81.59,Offline
192,42,2025-02-04,59.41,61.72,89.87,99.72,Running
193,43,2025-02-04,80.74,54.06,96.96,57.31,Running
194,44,2025-02-04,53.73,80.95,81.5,63.51,Running
195,45,2025-02-04,88.04,53.14,92.31,77.56,Running
196,46,2025-02-04,56.48,94.85,52.86,69.82,Running
197,47,2025-02-04,53.22,88.91,61.78,61.25,Offline
198,48,2025-02-04,93.36,71.35,67.45,80.34,Running
199,49,2025-02-04,97.19,59.16,85.55,66.83,Running
200,50,2025-02-04,62.26,53.27,60.06,74.76,Offline
201,1,2025-02-05,61.0,51.35,52.92,60.66,Offline
202,2,2025-02-05,85.99,59.38,78.49,69.11,Running
203,3,2025-02-05,77.58,82.43,50.04,90.14,Running
204,4,2025-02-05,53.77,67.67,88.58,56.48,Running
205,5,2025-02-05,51.38,69.07,72.39,66.89,Running
206,6,2025-02-05,62.69,91.88,74.22,50.97,Offline
207,7,2025-02-05,78.95,89.03,78.72,91.69,Running
208,8,2025-02-05,86.34,96.04,94.39,97.49,Running
209,9,2025-02-05,79.97,60.03,58.16,79.06,Offline
210,10,2025-02-05,75.96,95.83,57.64,90.48,Offline
211,11,2025-02-05,61.53,93.79,66.64,57.22,Offline
212,12,2025-02-05,61.48,84.6,99.32,63.03,Running
213,13,2025-02-05,87.13,68.56,53.64,71.63,Offline
214,14,2025-02-05,73.37,92.91,73.07,83.37,Running
215,15,2025-02-05,78.6,91.44,53.2,54.68,Offline
216,16,2025-02-05,55.91,55.11,66.65,88.52,Offline
217,17,2025-02-05,50.35,59.96,60.79,97.08,Running
218,18,2025-02-05,77.08,50.65,69.7,76.14,Offline
219,19,2025-02-05,76.04,89.29,78.96,61.4,Offline
220,20,2025-02-05,76.13,76.7,84.72,95.71,Running
221,21,2025-02-05,89.72,91.04,92.85,53.81,Offline
222,22,2025-02-05,60.03,61.01,96.94,70.6,Offline
223,23,2025-02-05,96.2,98.71,76.29,67.29,Running
224,24,2025-02-05,70.41,64.99,93.38,89.94,Offline
225,25,2025-02-05,59.82,99.62,91.94,55.81,Running
226,26,2025-02-05,87.16,64.55,73.25,58.07,Running
227,27,2025-02-05,69.69,83.75,82.58,81.97,Running
228,28,2025-02-05,81.71,77.19,90.73,81.16,Offline
229,29,2025-02-05,90.32,85.88,60.55,55.47,Running
230,30,2025-02-05,59.66,72.75,81.48,69.12,Offline
231,31,2025-02-05,86.78,58.33,83.45,95.4,Running
232,32,2025-02-05,81.72,65.41,50.44,86.38,Running
233,33,2025-02-05,60.02,94.86,58.62,81.26,Offline
234,34,2025-02-05,59.26,61.26,71.11,62.81,Running
235,35,2025-02-05,78.28,91.69,82.94,79.63,Offline
236,36,2025-02-05,65.56,61.92,57.56,59.51,Offline
237,37,2025-02-05,63.12,85.92,72.64,75.82,Offline
238,38,2025-02-05,93.38,81.14,64.84,83.17,Running
239,39,2025-02-05,66.55,62.11,51.88,61.79,Offline
240,40,2025-02-05,92.56,81.54,58.93,67.71,Running
241,41,2025-02-05,50.79,52.3,84.96,70.6,Offline
242,42,2025-02-05,92.43,80.09,66.81,65.23,Offline
243,43,2025-02-05,82.89,61.27,69.86,84.77,Running
244,44,2025-02-05,65.17,96.72,70.88,83.16,Offline
245,45,2025-02-05,63.53,82.32,78.53,92.57,Running
246,46,2025-02-05,89.05,75.74,55.28,74.1,Running
247,47,2025-02-05,87.22,62.48,53.43,98.75,Offline
248,48,2025-02-05,67.84,80.6,69.91,65.14,Running
249,49,2025-02-05,89.7,91.28,94.0,63.64,Running
250,50,2025-02-05,66.21,93.95,58.21,64.16,Running
251,1,2025-02-06,98.52,52.89,69.7,64.96,Running
252,2,2025-02-06,96.57,86.05,69.06,74.91,Offline
253,3,2025-02-06,64.81,66.71,80.96,92.93,Running
254,4,2025-02-06,82.22,71.04,76.53,86.54,Running
255,5,2025-02-06,68.21,55.81,56.39,93.7,Offline
256,6,2025-02-06,90.66,95.37,67.0,75.63,Running
257,7,2025-02-06,91.24,64.64,79.45,71.57,Running
258,8,2025-02-06,97.54,67.77,71.57,55.3,Offline
259,9,2025-02-06,72.67,54.69,87.14,65.85,Running
260,10,2025-02-06,50.64,62.62,82.98,65.44,Offline
261,11,2025-02-06,81.72,56.37,62.42,85.25,Running
262,12,2025-02-06,50.23,93.82,68.08,67.65,Offline
263,13,2025-02-06,84.26,82.64,96.71,81.85,Offline
264,14,2025-02-06,60.8,58.09,72.49,83.9,Running
265,15,2025-02-06,53.63,91.81,53.77,98.36,Offline
266,16,2025-02-06,93.59,96.46,98.86,89.62,Offline
267,17,2025-02-06,90.02,88.24,85.71,91.12,Running
268,18,2025-02-06,98.43,72.92,50.93,57.72,Running
269,19,2025-02-06,98.11,96.84,59.39,99.92,Running
270,20,2025-02-06,84.16,57.45,86.96,72.96,Offline
271,21,2025-02-06,82.32,70.99,91.54,97.68,Offline
272,22,2025-02-06,71.28,92.59,58.0,94.25,Offline
273,23,2025-02-06,67.98,95.26,80.83,57.6,Running
274,24,2025-02-06,76.98,88.45,99.28,74.82,Offline
275,25,2025-02-06,82.37,76.14,51.79,53.2,Offline
276,26,2025-02-06,54.2,69.45,65.7,64.62,Offline
277,27,2025-02-06,75.72,92.87,56.73,92.17,Running
278,28,2025-02-06,85.11,72.58,77.76,57.35,Offline
279,29,2025-02-06,65.2,79.99,84.32,63.05,Running
280,30,2025-02-06,54.35,88.13,50.56,85.07,Offline
281,31,2025-02-06,79.04,52.53,94.22,79.74,Running
282,32,2025-02-06,50.56,92.11,80.11,99.88,Offline
283,33,2025-02-06,53.39,52.29,85.24,95.08,Offline
284,34,2025-02-06,62.39,58.01,58.19,71.5,Offline
285,35,2025-02-06,97.39,96.25,74.87,50.2,Running
286,36,2025-02-06,57.08,58.36,90.83,69.96,Offline
287,37,2025-02-06,71.57,65.09,81.48,98.58,Offline
288,38,2025-02-06,86.05,88.62,95.89,99.99,Offline
289,39,2025-02-06,57.63,51.38,90.41,65.81,Running
290,40,2025-02-06,75.76,67.9,89.96,85.79,Offline
291,41,2025-02-06,64.32,85.9,84.36,50.35,Offline
292,42,2025-02-06,84.94,59.96,78.78,51.94,Running
293,43,2025-02-06,58.67,57.82,52.73,70.14,Offline
294,44,2025-02-06,92.98,91.68,90.16,74.63,Running
295,45,2025-02-06,98.98,90.97,92.15,98.78,Running
296,46,2025-02-06,82.12,70.26,53.5,58.53,Offline
297,47,2025-02-06,75.82,70.66,73.25,52.32,Running
298,48,2025-02-06,95.44,55.19,63.03,97.15,Running
299,49,2025-02-06,94.71,55.96,63.59,58.02,Running
300,50,2025-02-06,87.13,75.67,88.8,75.85,Offline
301,1,2025-02-07,77.03,95.93,71.38,57.54,Running
302,2,2025-02-07,52.13,93.11,72.02,95.51,Offline
303,3,2025-02-07,50.57,92.9,56.31,50.13,Running
304,4,2025-02-07,59.22,68.74,65.76,56.25,Offline
305,5,2025-02-07,62.15,77.38,52.06,58.71,Running
306,6,2025-02-07,59.81,92.36,55.34,92.35,Running
307,7,2025-02-07,65.87,50.25,85.84,70.19,Running
308,8,2025-02-07,78.95,62.0,84.01,84.49,Running
309,9,2025-02-07,52.46,75.02,83.92,97.09,Running
310,10,2025-02-07,93.55,64.57,62.29,62.87,Offline
311,11,2025-02-07,70.54,78.04,70.47,69.14,Offline
312,12,2025-02-07,90.24,59.1,92.45,93.96,Running
313,13,2025-02-07,69.92,78.54,94.73,69.38,Running
314,14,2025-02-07,76.11,70.91,84.59,76.86,Running
315,15,2025-02-07,58.46,78.62,90.93,93.28,Offline
316,16,2025-02-07,50.48,83.0,80.93,68.72,Running
317,17,2025-02-07,90.87,56.8,57.46,97.31,Running
318,18,2025-02-07,85.14,92.64,95.71,66.04,Running
319,19,2025-02-07,92.84,67.04,78.27,79.21,Offline
320,20,2025-02-07,76.99,98.9,68.13,69.9,Running
321,21,2025-02-07,83.6,58.44,53.19,92.66,Running
322,22,2025-02-07,84.58,50.98,78.82,87.08,Running
323,23,2025-02-07,98.92,81.38,61.16,67.89,Offline
324,24,2025-02-07,58.08,63.48,73.96,62.73,Offline
325,25,2025-02-07,70.96,53.95,92.71,53.11,Offline
326,26,2025-02-07,82.48,79.02,95.32,83.34,Running
327,27,2025-02-07,89.91,71.79,51.62,53.74,Offline
328,28,2025-02-07,86.54,55.65,93.51,89.69,Offline
329,29,2025-02-07,68.87,78.06,54.98,70.85,Running
330,30,2025-02-07,57.09,72.65,60.91,55.89,Running
331,31,2025-02-07,87.83,75.75,56.56,89.91,Offline
332,32,2025-02-07,59.94,75.02,55.63,64.73,Offline
333,33,2025-02-07,66.68,79.44,88.57,88.8,Running
334,34,2025-02-07,63.79,56.81,76.39,94.93,Offline
335,35,2025-02-07,50.24,94.72,75.11,88.94,Offline
336,36,2025-02-07,65.89,66.89,57.38,51.71,Running
337,37,2025-02-07,74.09,93.68,71.48,53.93,Offline
338,38,2025-02-07,88.73,81.06,82.83,58.62,Offline
339,39,2025-02-07,65.71,55.4,59.07,81.32,Offline
340,40,2025-02-07,95.44,70.74,98.06,79.64,Offline
341,41,2025-02-07,80.16,97.45,84.91,77.16,Running
342,42,2025-02-07,53.51,97.79,67.15,82.97,Running
343,43,2025-02-07,63.94,67.09,88.91,84.93,Running
344,44,2025-02-07,56.82,51.2,62.42,57.23,Running
345,45,2025-02-07,91.9,67.16,59.03,96.94,Running
346,46,2025-02-07,61.04,58.42,64.25,94.63,Running
347,47,2025-02-07,85.87,87.22,81.97,94.93,Running
348,48,2025-02-07,73.02,77.67,61.63,64.49,Offline
349,49,2025-02-07,72.04,64.15,99.86,66.18,Running
350,50,2025-02-07,55.52,92.0,87.63,55.47,Offline
351,1,2025-02-08,85.41,94.61,62.94,58.94,Running
352,2,2025-02-08,95.09,71.86,58.43,97.17,Offline
353,3,2025-02-08,58.88,90.85,64.11,76.48,Offline
354,4,2025-02-08,52.84,75.88,71.31,57.33,Offline
355,5,2025-02-08,69.34,62.37,78.79,94.19,Running
356,6,2025-02-08,65.63,89.94,98.42,59.71,Offline
357,7,2025-02-08,94.68,76.94,90.19,57.82,Offline
358,8,2025-02-08,53.15,60.24,99.66,91.28,Running
359,9,2025-02-08,59.03,86.01,78.69,62.69,Offline
360,10,2025-02-08,97.2,59.76,70.22,79.81,Offline
361,11,2025-02-08,60.46,58.01,99.22,56.39,Offline
362,12,2025-02-08,83.59,68.43,90.45,95.07,Running
363,13,2025-02-08,78.24,51.03,80.54,74.22,Offline
364,14,2025-02-08,77.03,87.13,68.67,89.27,Running
365,15,2025-02-08,90.96,58.19,83.33,64.07,Offline
366,16,2025-02-08,98.23,70.89,75.86,74.56,Offline
367,17,2025-02-08,62.23,62.1,94.45,62.78,Running
368,18,2025-02-08,72.81,97.21,72.1,77.93,Offline
369,19,2025-02-08,91.32,54.07,84.57,57.28,Running
370,20,2025-02-08,58.17,69.7,88.86,82.79,Offline
371,21,2025-02-08,82.34,57.05,87.31,60.06,Offline
372,22,2025-02-08,87.1,94.36,88.43,79.23,Offline
373,23,2025-02-08,87.72,75.84,79.7,68.03,Running
374,24,2025-02-08,83.18,65.52,83.24,66.31,Running
375,25,2025-02-08,90.19,91.02,71.79,55.36,Running
376,26,2025-02-08,87.69,60.77,73.35,79.39,Offline
377,27,2025-02-08,72.48,89.9,80.32,63.15,Offline
378,28,2025-02-08,92.35,91.81,90.45,69.55,Offline
379,29,2025-02-08,81.72,62.7,57.32,52.46,Running
380,30,2025-02-08,50.31,76.09,55.39,80.84,Offline
381,31,2025-02-08,80.61,94.86,87.85,58.3,Offline
382,32,2025-02-08,74.6,75.6,78.28,70.87,Running
383,33,2025-02-08,52.87,99.48,79.79,52.34,Offline
384,34,2025-02-08,77.98,84.37,65.16,87.21,Offline
385,35,2025-02-08,70.77,91.66,65.66,75.15,Running
386,36,2025-02-08,58.69,66.23,51.67,95.28,Offline
387,37,2025-02-08,67.86,82.92,73.36,88.82,Running
388,38,2025-02-08,84.73,60.02,82.45,88.14,Offline
389,39,2025-02-08,60.44,75.84,89.58,75.41,Running
390,40,2025-02-08,78.39,85.11,71.1,60.45,Offline
391,41,2025-02-08,93.57,59.33,83.05,61.49,Running
392,42,2025-02-08,95.53,64.58,82.52,58.26,Offline
393,43,2025-02-08,77.92,86.79,78.86,90.08,Offline
394,44,2025-02-08,53.81,51.07,94.36,67.29,Running
395,45,2025-02-08,81.93,92.21,80.52,65.93,Running
396,46,2025-02-08,60.29,59.67,66.75,58.39,Running
397,47,2025-02-08,82.28,68.48,58.9,63.92,Offline
398,48,2025-02-08,98.52,58.52,69.58,79.24,Offline
399,49,2025-02-08,55.01,82.54,70.49,69.67,Running
400,50,2025-02-08,75.78,95.05,69.68,78.09,Running
401,1,2025-02-09,96.87,50.04,95.18,91.61,Running
402,2,2025-02-09,96.55,56.44,52.24,64.91,Offline
403,3,2025-02-09,66.31,87.68,83.92,90.79,Running
404,4,2025-02-09,98.98,69.23,63.81,96.44,Running
405,5,2025-02-09,57.97,73.18,79.28,75.74,Offline
406,6,2025-02-09,70.97,78.1,83.45,65.69,Running
407,7,2025-02-09,74.77,76.63,84.35,75.23,Running
408,8,2025-02-09,91.48,72.49,82.36,73.65,Offline
409,9,2025-02-09,74.43,60.94,62.1,93.83,Offline
410,10,2025-02-09,81.35,55.5,51.97,57.04,Offline
411,11,2025-02-09,65.58,94.17,95.8,89.23,Running
412,12,2025-02-09,90.46,61.53,99.62,80.87,Offline
413,13,2025-02-09,80.29,71.09,86.61,64.1,Offline
414,14,2025-02-09,69.09,52.65,78.68,79.39,Offline
415,15,2025-02-09,57.34,94.57,78.95,66.04,Offline
416,16,2025-02-09,52.33,71.1,84.87,63.02,Running
417,17,2025-02-09,64.13,69.73,93.33,84.86,Running
418,18,2025-02-09,57.81,52.19,78.25,82.3,Offline
419,19,2025-02-09,93.89,89.23,54.08,95.39,Offline
420,20,2025-02-09,73.45,59.23,90.91,75.92,Offline
421,21,2025-02-09,68.13,84.13,51.27,54.67,Running
422,22,2025-02-09,73.86,57.47,55.4,87.94,Offline
423,23,2025-02-09,58.62,97.31,66.23,90.83,Running
424,24,2025-02-09,54.41,69.84,61.54,71.22,Offline
425,25,2025-02-09,85.99,72.29,59.05,73.99,Running
426,26,2025-02-09,79.57,81.53,78.0,73.49,Running
427,27,2025-02-09,55.66,51.86,64.17,54.49,Running
428,28,2025-02-09,84.81,59.19,54.47,55.68,Running
429,29,2025-02-09,88.63,93.2,83.44,96.8,Running
430,30,2025-02-09,99.9,61.99,83.39,71.51,Offline
431,31,2025-02-09,60.65,56.45,86.63,59.14,Offline
432,32,2025-02-09,66.01,92.29,91.38,76.12,Offline
433,33,2025-02-09,79.8,98.83,87.6,80.94,Offline
434,34,2025-02-09,70.82,76.29,99.53,99.45,Offline
435,35,2025-02-09,62.25,69.88,58.45,83.62,Running
436,36,2025-02-09,93.56,67.0,98.56,68.38,Offline
437,37,2025-02-09,58.46,59.55,82.08,81.95,Running
438,38,2025-02-09,82.48,86.72,61.5,69.29,Running
439,39,2025-02-09,99.27,86.28,50.6,93.29,Running
440,40,2025-02-09,63.79,77.09,57.85,89.69,Offline
441,41,2025-02-09,71.43,92.88,68.23,72.56,Running
442,42,2025-02-09,69.54,67.32,57.8,63.33,Offline
443,43,2025-02-09,53.36,86.23,63.21,60.44,Running
444,44,2025-02-09,67.26,91.4,80.62,82.68,Offline
445,45,2025-02-09,50.34,90.28,60.83,94.51,Offline
446,46,2025-02-09,57.33,58.22,52.21,58.4,Running
447,47,2025-02-09,78.78,83.28,77.77,66.92,Running
448,48,2025-02-09,53.26,85.38,72.84,65.1,Offline
449,49,2025-02-09,53.64,76.08,95.48,55.04,Offline
450,50,2025-02-09,76.01,95.03,87.93,94.13,Running
451,1,2025-02-10,65.35,58.31,60.24,98.88,Running
452,2,2025-02-10,64.71,73.15,64.28,77.82,Offline
453,3,2025-02-10,63.82,59.74,87.3,58.29,Running
454,4,2025-02-10,50.75,74.53,71.77,56.93,Offline
455,5,2025-02-10,98.07,83.03,71.7,64.83,Running
456,6,2025-02-10,81.29,68.71,88.64,92.87,Running
457,7,2025-02-10,75.19,58.75,51.06,80.67,Offline
